ieta = 0, ix = 119, iy = 197, energy density = 0.412964 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.116039
ieta = 0, ix = 119, iy = 196, energy density = 0.186918 GeV/fm^3, shear |pi/(epsilon+3*P)| = 2.01118
ieta = 0, ix = 119, iy = 196, energy density = 0.10736 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.371197
ieta = 0, ix = 118, iy = 196, energy density = 0.172854 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.118814
ieta = 0, ix = 118, iy = 196, energy density = 0.172854 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.158954
ieta = 0, ix = 120, iy = 197, energy density = 0.724745 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.10582
ieta = 0, ix = 122, iy = 200, energy density = 0.961338 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.106265
ieta = 0, ix = 122, iy = 200, energy density = 0.961338 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.101728
ieta = 0, ix = 121, iy = 199, energy density = 1.64522 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.11593
ieta = 0, ix = 119, iy = 197, energy density = 0.223587 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.45439
ieta = 0, ix = 119, iy = 197, energy density = 2.9773 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.230216
ieta = 0, ix = 123, iy = 200, energy density = 0.23605 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.696007
ieta = 0, ix = 123, iy = 200, energy density = 0.23605 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.129207
ieta = 0, ix = 123, iy = 200, energy density = 0.272367 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.101724
ieta = 0, ix = 120, iy = 197, energy density = 5.69573 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.106876
ieta = 0, ix = 120, iy = 197, energy density = 5.30167 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.15051
ieta = 0, ix = 121, iy = 198, energy density = 0.41197 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.109659
ieta = 0, ix = 119, iy = 197, energy density = 2.27399 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.205409
ieta = 0, ix = 120, iy = 197, energy density = 0.524423 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.126833
ieta = 0, ix = 122, iy = 197, energy density = 0.950154 GeV/fm^3, shear |pi/(epsilon+3*P)| = 1.06089
ieta = 0, ix = 120, iy = 197, energy density = 0.524423 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.196507
ieta = 0, ix = 119, iy = 197, energy density = 1.25309 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.104142
ieta = 0, ix = 120, iy = 197, energy density = 0.730336 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.361107
ieta = 0, ix = 122, iy = 197, energy density = 0.586702 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.181071
ieta = 0, ix = 121, iy = 200, energy density = 0.126444 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.265911
ieta = 0, ix = 118, iy = 196, energy density = 0.24222 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.130022
ieta = 0, ix = 117, iy = 195, energy density = 1.6316 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.12521
ieta = 0, ix = 120, iy = 197, energy density = 0.651158 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.139624
ieta = 0, ix = 122, iy = 197, energy density = 0.830591 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.709682
